tax_id,tax_name,rank,num_records,median,mean
553429,'Gynumella flava',species,3,2.00,2.67
679158,'Gynumella',genus,3,2.00,2.67
551115,'Nostoc azollae' 0708,below_species,7,4.00,4.29
672789,'Styphnolobium stolbur japonicum',species,1,2.00,2.00
46123,Abiotrophia,genus,4,5.00,4.62
46125,Abiotrophia defectiva,species,4,5.00,4.62
191553,Abiotrophia para-adiacens,species,4,5.00,4.62
235880,Acalypheae,tribe,2,2.00,2.00
235629,Acalyphoideae,subfamily,2,2.00,2.00
442869,Acanthopleuribacter,genus,4,1.62,1.56
442870,Acanthopleuribacter pedis,species,4,1.62,1.56
533207,Acanthopleuribacteraceae,family,4,1.62,1.56
533206,Acanthopleuribacterales,order,4,1.62,1.56
291967,Acaricomes,genus,5,3.00,3.10
291968,Acaricomes phytoseiuli,species,5,3.00,3.10
155977,Acaryochloris,genus,1,2.00,2.00
155978,Acaryochloris marina,species,1,2.00,2.00
1305589,Acaryochloris marina CRS,below_species,1,2.00,2.00
329726,Acaryochloris marina MBIC11017,below_species,1,2.00,2.00
258514,Acetanaerobacterium,genus,9,5.00,5.86
258515,Acetanaerobacterium elongatum,species,9,5.00,5.86
1427378,Acetatifactor,subgenus,1,6.00,6.00
879566,Acetatifactor muris,species,1,6.00,6.00
35829,Acetivibrio,genus,9,5.00,5.86
35830,Acetivibrio cellulolyticus,species,9,5.00,5.86
290052,Acetivibrio ethanolgignens,species,9,5.00,5.86
186831,Acetoanaerobium,genus,2,5.00,5.00
745369,Acetoanaerobium noterae,species,2,5.00,5.00
434,Acetobacter,genus,1,5.00,5.00
435,Acetobacter aceti,species,1,5.00,5.00
887700,Acetobacter aceti NBRC 14818,below_species,1,5.00,5.00
178900,Acetobacter cerevisiae,species,1,5.00,5.00
146475,Acetobacter cibinongensis,species,1,5.00,5.00
104097,Acetobacter estunensis,species,1,5.00,5.00
483199,Acetobacter fabarum,species,1,5.00,5.00
1260984,Acetobacter farinalis,species,1,5.00,5.00
431306,Acetobacter ghanensis,species,1,5.00,5.00
104101,Acetobacter indonesiensis,species,1,5.00,5.00
104100,Acetobacter lovaniensis,species,1,5.00,5.00
178901,Acetobacter malorum,species,1,5.00,5.00
285268,Acetobacter nitrogenifigens,species,1,5.00,5.00
304077,Acetobacter oeni,species,1,5.00,5.00
1076594,Acetobacter okinawensis,species,1,5.00,5.00
146474,Acetobacter orientalis,species,1,5.00,5.00
104099,Acetobacter orleanensis,species,1,5.00,5.00
1076592,Acetobacter papayae,species,1,5.00,5.00
438,Acetobacter pasteurianus,species,1,5.00,5.00
1266844,Acetobacter pasteurianus 386B,below_species,1,5.00,5.00
634452,Acetobacter pasteurianus IFO 3283-01,below_subspecies,1,5.00,5.00
634458,Acetobacter pasteurianus IFO 3283-01-42C,below_subspecies,1,5.00,5.00
634453,Acetobacter pasteurianus IFO 3283-03,below_subspecies,1,5.00,5.00
634454,Acetobacter pasteurianus IFO 3283-07,below_subspecies,1,5.00,5.00
634459,Acetobacter pasteurianus IFO 3283-12,below_subspecies,1,5.00,5.00
634455,Acetobacter pasteurianus IFO 3283-22,below_subspecies,1,5.00,5.00
634456,Acetobacter pasteurianus IFO 3283-26,below_subspecies,1,5.00,5.00
634457,Acetobacter pasteurianus IFO 3283-32,below_subspecies,1,5.00,5.00
481146,Acetobacter pasteurianus subsp. ascendens,subspecies,1,5.00,5.00
940260,Acetobacter pasteurianus subsp. paradoxus,subspecies,1,5.00,5.00
481145,Acetobacter pasteurianus subsp. pasteurianus,subspecies,1,5.00,5.00
