tax_id,tax_name,rank,num_records,median,mean
155977,Acaryochloris,genus,1,2.00,2.00
155978,Acaryochloris marina,species,1,2.00,2.00
329726,Acaryochloris marina MBIC11017,below_species,1,2.00,2.00
434,Acetobacter,genus,1,5.00,5.00
438,Acetobacter pasteurianus,species,1,5.00,5.00
634452,Acetobacter pasteurianus IFO 3283-01,below_subspecies,1,5.00,5.00
481145,Acetobacter pasteurianus subsp. pasteurianus,subspecies,1,5.00,5.00
433,Acetobacteraceae,family,5,4.00,3.60
28186,Acetohalobium,genus,1,5.00,5.00
28187,Acetohalobium arabaticum,species,1,5.00,5.00
574087,Acetohalobium arabaticum DSM 5501,below_species,1,5.00,5.00
2147,Acholeplasma,genus,3,2.00,2.00
29552,Acholeplasma axanthum,species,1,2.00,2.00
264635,Acholeplasma granularum,species,1,2.00,2.00
2148,Acholeplasma laidlawii,species,2,2.00,2.00
441768,Acholeplasma laidlawii PG-8A,below_species,1,2.00,2.00
2146,Acholeplasmataceae,family,1,2.00,2.00
186329,Acholeplasmatales,order,1,2.00,2.00
222,Achromobacter,genus,1,3.00,3.00
85698,Achromobacter xylosoxidans,species,1,3.00,3.00
762376,Achromobacter xylosoxidans A8,below_species,1,3.00,3.00
909930,Acidaminococcaceae,family,1,4.50,4.50
904,Acidaminococcus,genus,2,4.50,4.50
905,Acidaminococcus fermentans,species,1,6.00,6.00
591001,Acidaminococcus fermentans DSM 20731,below_species,1,6.00,6.00
187327,Acidaminococcus intestini,species,1,3.00,3.00
568816,Acidaminococcus intestini RyC-MR95,below_species,1,3.00,3.00
871007,Acidilobaceae,family,1,1.00,1.00
871006,Acidilobales,order,1,1.00,1.00
105850,Acidilobus,genus,1,1.00,1.00
242703,Acidilobus saccharovorans,species,1,1.00,1.00
666510,Acidilobus saccharovorans 345-15,below_species,1,1.00,1.00
84994,Acidimicrobiaceae,family,1,2.00,2.00
84993,Acidimicrobiales,order,1,2.00,2.00
84992,Acidimicrobidae,subclass,1,2.00,2.00
255726,Acidimicrobineae,suborder,1,2.00,2.00
53634,Acidimicrobium,genus,1,2.00,2.00
53635,Acidimicrobium ferrooxidans,species,1,2.00,2.00
525909,Acidimicrobium ferrooxidans DSM 10331,below_species,1,2.00,2.00
522,Acidiphilium,genus,1,2.00,2.00
524,Acidiphilium cryptum,species,1,2.00,2.00
349163,Acidiphilium cryptum JF-5,below_species,1,2.00,2.00
225058,Acidithiobacillaceae,family,1,2.00,2.00
225057,Acidithiobacillales,order,1,2.00,2.00
119977,Acidithiobacillus,genus,2,2.00,2.00
33059,Acidithiobacillus caldus,species,1,2.00,2.00
990288,Acidithiobacillus caldus SM-1,below_species,1,2.00,2.00
920,Acidithiobacillus ferrooxidans,species,2,2.00,2.00
243159,Acidithiobacillus ferrooxidans ATCC 23270,below_species,1,2.00,2.00
380394,Acidithiobacillus ferrooxidans ATCC 53993,below_species,1,2.00,2.00
57723,Acidobacteria,phylum,4,1.62,1.56
204434,Acidobacteriaceae,family,2,1.25,1.25
204433,Acidobacteriales,order,1,1.25,1.25
204432,Acidobacteriia,class,1,1.25,1.25
33973,Acidobacterium,genus,1,1.00,1.00
33075,Acidobacterium capsulatum,species,1,1.00,1.00
240015,Acidobacterium capsulatum ATCC 51196,below_species,1,1.00,1.00
85032,Acidothermaceae,family,1,1.00,1.00
28048,Acidothermus,genus,1,1.00,1.00
28049,Acidothermus cellulolyticus,species,1,1.00,1.00
351607,Acidothermus cellulolyticus 11B,below_species,1,1.00,1.00
12916,Acidovorax,genus,3,3.00,3.00
80867,Acidovorax avenae,species,1,3.00,3.00
80870,Acidovorax avenae subsp. avenae,subspecies,1,3.00,3.00
643561,Acidovorax avenae subsp. avenae ATCC 19860,below_subspecies,1,3.00,3.00
80869,Acidovorax citrulli,species,1,3.00,3.00
397945,Acidovorax citrulli AAC00-1,below_species,1,3.00,3.00
721785,Acidovorax ebreus,species,1,3.00,3.00
535289,Acidovorax ebreus TPSY,below_species,1,3.00,3.00
379546,Aciduliprofundum,genus,1,1.00,1.00
379547,Aciduliprofundum boonei,species,1,1.00,1.00
439481,Aciduliprofundum boonei T469,below_species,1,1.00,1.00
469,Acinetobacter,genus,10,6.00,6.20
470,Acinetobacter baumannii,species,4,6.00,5.75
480119,Acinetobacter baumannii AB0057,below_species,1,6.00,6.00
557600,Acinetobacter baumannii AB307-0294,below_species,1,6.00,6.00
